Topic,Words,Frequency,Class
6,"épi, pêcheur, estacade, galet, cuche",6,La joie de vivre.
7,"pupille, héliotrope, bougeoir, courbature, plage",84,La joie de vivre.
8,"pupille, émancipation, musicien, préférer, véronique",67,La joie de vivre.
9,"bougeoir, véroniqu, grugera, embarrass, reconstruirai",28,La joie de vivre.
10,"défendez, thèse, juvénile, enrage, réparateur",3,La joie de vivre.
11,"timbale, inventaire, trimestre, ayez, carpette",26,La joie de vivre.
12,"chanteau, subvention, gober, consternée, ingénieur",13,La joie de vivre.
13,"bromure, procuration, relevât, phénol, potassium",16,La joie de vivre.
14,"étranglement, raidissement, boulette, angine, toux",40,La joie de vivre.
15,"minouche, héliotrope, potager, barque, mitron",27,La joie de vivre.
16,"plage, digital, ragoût, minouche, débarrasse",131,La joie de vivre.
17,"curateur, subrogé, tutelle, tuteur, code",1,La joie de vivre.
18,"contraction, tophus, symptôme, poumon, friction",90,La joie de vivre.
19,"expulsion, dilatation, donnez, trompât, ulcération",19,La joie de vivre.
20,"symphonie, orteil, arborescence, plaisantât, alcalin",9,La joie de vivre.
21,"paravent, jugeât, fleuret, gambade, escrime",4,La joie de vivre.
0,"bastidon, colline, araignée, chaux, barricade",21,1867 Les mysteres de Marseille.
1,"négociant, conservateur, agioteur, libéral, tripot",41,1867 Les mysteres de Marseille.
2,"créancier, associé, négociant, usurier, traite",85,1867 Les mysteres de Marseille.
3,"fine, mésalliance, héritier, bastidon, évasion",40,1867 Les mysteres de Marseille.
4,"armateur, portefaix, procuration, hypothèque, mascotte",144,1867 Les mysteres de Marseille.
5,"consentirai, insurrection, aime, bastidon, rassurant",11,1867 Les mysteres de Marseille.
6,"barricade, national, manifestation, baïonnette, délégué",106,1867 Les mysteres de Marseille.
7,"accouchée, thym, serrurier, serrure, geôle",31,1867 Les mysteres de Marseille.
8,"geôlier, fugitif, portefaix, cajolerie, enlèvement",80,1867 Les mysteres de Marseille.
9,"usurier, portefaix, armateur, raillant, scélérat",65,1867 Les mysteres de Marseille.
10,"pilori, acceptât, savez, tuer, manieur",21,1867 Les mysteres de Marseille.
11,"usurier, renégat, misèr, percer, origine",9,1867 Les mysteres de Marseille.
12,"portefaix, savonnerie, bastidon, perplexité, clovisse",29,1867 Les mysteres de Marseille.
13,"laitière, enjoué, déposition, bedeau, rareté",11,1867 Les mysteres de Marseille.
14,"bénin, cambrant, poteau, épidémie, éclaboussure",17,1867 Les mysteres de Marseille.
15,"falaise, ayasse, emmèneron, gémissant, crinoline",16,1867 Les mysteres de Marseille.
16,"bastidon, indien, capuchon, leste, mademoiselle",25,1867 Les mysteres de Marseille.
17,"immeuble, hypothèque, emprunteur, faussaire, détournement",23,1867 Les mysteres de Marseille.
18,"lorette, mèr, choléra, fine, humiliation",41,1867 Les mysteres de Marseille.
19,"orphelinat, mademoiselle, usurier, rapt, aperçut",45,1867 Les mysteres de Marseille.
20,"shako, périphrase, tigre, friponnerie, nuageux",10,1867 Les mysteres de Marseille.
21,"multitude, portefaix, provocateur, port, démocrate",33,1867 Les mysteres de Marseille.
0,"île, préau, gothique, encyclopédique, adouci",15,1866 Le voeu d une morte.
1,"abstrait, contemplatif, digue, opposition, gaucherie",3,1866 Le voeu d une morte.
2,"multiplication, encyclopédique, chiourme, manuscrit, procédure",9,1866 Le voeu d une morte.
3,"pénétrait, abnégation, apaisement, moqueur, cordialité",74,1866 Le voeu d une morte.
4,"criard, libéral, oubliai, subalterne, ête",10,1866 Le voeu d une morte.
5,"accompagnât, désintéressé, sauf, lucidité, languissant",4,1866 Le voeu d une morte.
6,"imperceptible, somptueux, barque, berge, île",2,1866 Le voeu d une morte.
7,"méprit, attristèrent, aimant, faculté, mortuaire",12,1866 Le voeu d une morte.
8,"orphelin, protecteur, lycée, paria, souffrit",36,1866 Le voeu d une morte.
9,"gomme, frisure, coiffeur, poète, gage",3,1866 Le voeu d une morte.
10,"bienheureux, bienfait, ôtât, imaginai, vœu",22,1866 Le voeu d une morte.
11,"argot, lux, platitude, nostalgie, excentrique",8,1866 Le voeu d une morte.
12,"sablé, dictionnaire, renommée, auteur, souffleter",13,1866 Le voeu d une morte.
13,"pétulant, remontrance, imperceptible, moqueur, banal",2,1866 Le voeu d une morte.
14,"nageur, embonpoint, apaisement, abnégation, contemplation",3,1866 Le voeu d une morte.
15,"encyclopédique, parloir, grisette, équipée, tête",14,1866 Le voeu d une morte.
16,"chiffonnée, mathématicien, protéger, déranger, bluet",17,1866 Le voeu d une morte.
18,"outrageux, accompagnât, ennuyant, gaucherie, grincement",6,1866 Le voeu d une morte.
19,"soupire, monomanie, remercie, isolant, écout",13,1866 Le voeu d une morte.
20,"copier, servitude, humanitairerie, moraliste, érudit",7,1866 Le voeu d une morte.
21,"statuette, rentrât, phrygien, intrus, gaucherie",8,1866 Le voeu d une morte.
0,"hall, vitrine, ganterie, lainage, casier",146,Au Bonheur des dames.
1,"gratuitement, métallique, négoc, sébile, blasphémer",16,Au Bonheur des dames.
2,"nouveauté, caissier, appointement, prunair, concurrence",127,Au Bonheur des dames.
3,"moutonnier, épousai, sensibilité, inspection, renvoi",43,Au Bonheur des dames.
4,"baron, baisse, drapier, marron, bobinard",39,Au Bonheur des dames.
5,"enfonce, canaillerie, languir, amuse, condisciple",11,Au Bonheur des dames.
6,"reparut, barreur, couvreur, rassortiment, jaunisse",14,Au Bonheur des dames.
7,"démolisseur, drapier, remua, frivolité, amuse",37,Au Bonheur des dames.
8,"séduction, baron, ment, renvoi, distraire",63,Au Bonheur des dames.
9,"assortiment, auxiliaire, bail, chantilly, diplôme",45,Au Bonheur des dames.
10,"chanvre, nécessiteux, gazonné, grondeur, accompagnement",8,Au Bonheur des dames.
11,"confection, lingerie, lainage, cravate, achat",165,Au Bonheur des dames.
12,"guichet, bassine, sauce, cuisinier, second",74,Au Bonheur des dames.
13,"confection, lingère, nouveauté, rotonde, haras",82,Au Bonheur des dames.
14,"ampoule, poissarde, bronzé, moisie, cendré",5,Au Bonheur des dames.
15,"sandwich, surah, pelucheux, arceau, crémeux",16,Au Bonheur des dames.
16,"cocotte, lingère, troublée, confection, cahier",47,Au Bonheur des dames.
17,"défalcation, débit, souche, déplié, spécimen",3,Au Bonheur des dames.
18,"drapier, brancard, intelligible, bile, dégrafa",27,Au Bonheur des dames.
19,"semonce, défendez, suffoquer, tressaillant, blêmit",22,Au Bonheur des dames.
20,"cor, matelassé, caissier, ingénieux, poète",33,Au Bonheur des dames.
21,"dîneur, corbillard, bile, transir, inactif",17,Au Bonheur des dames.
0,"péniche, berge, flèche, perspective, coupole",136,L oeuvre.
1,"bouquin, lyrisme, tourlaqu, thème, personnalité",49,L oeuvre.
2,"amateur, géométrie, débilité, concours, attablé",54,L oeuvre.
3,"abstinence, fringale, mimi, bise, sensuel",70,L oeuvre.
4,"paysagiste, cambuse, échaudé, votât, sexagénaire",38,L oeuvre.
5,"meure, chimère, enflure, nue, copie",34,L oeuvre.
6,"châssis, bousculer, vagabondèrent, lavis, escarpée",10,L oeuvre.
7,"paravent, chevalet, gelinotte, mimi, bise",48,L oeuvre.
8,"insultant, emmêler, détachée, supplier, entrez",23,L oeuvre.
9,"homard, bacchante, trac, mahoudeau, amateur",25,L oeuvre.
10,"trouvai, jugeant, accabl, réchauffant, somnambulisme",11,L oeuvre.
11,"bouillabaisse, rôtie, sucrerie, glouton, paravent",24,L oeuvre.
12,"sculpteur, cimaise, guimauve, bâcler, admission",55,L oeuvre.
13,"herboriste, gêneur, commençon, crûment, déjeuné",22,L oeuvre.
14,"fichtre, pinceau, tronçon, paravent, trouvai",29,L oeuvre.
15,"modelé, sureau, menthe, renflement, diffus",38,L oeuvre.
16,"orthographe, tremblerai, laveur, ahurir, réveillé",31,L oeuvre.
17,"jury, fâchât, alphabétique, présentable, couchon",6,L oeuvre.
18,"étique, surprît, rattrapa, trapèze, tressaillit",27,L oeuvre.
19,"éblouit, inconnue, monton, anatomie, contempla",6,L oeuvre.
20,"ébauche, jury, palette, paysage, crétin",138,L oeuvre.
21,"fagerolle, dégringoler, palette, clarinette, gramme",33,L oeuvre.
0,"berge, artillerie, ouest, nord, sud",147,La debacle.
1,"plébiscite, patrie, émeutier, ânerie, régent",46,La debacle.
2,"farine, intendance, escouade, réquisition, dépendance",55,La debacle.
3,"tâtant, corbeau, raisonnât, vétéran, soumise",34,La debacle.
4,"caporal, maréchal, brouette, rustre, major",52,La debacle.
5,"roussi, lacérer, ressuscitât, dissemblable, effacement",27,La debacle.
6,"canon, batterie, obu, septième, division",531,La debacle.
7,"septième, ambulance, dodo, major, bouger",63,La debacle.
8,"témérité, malignité, orthographe, transportable, vexant",32,La debacle.
9,"patriote, caporal, patrouille, salop, faut",39,La debacle.
10,"consentit, drain, affaiblissement, clapotement, hurler",8,La debacle.
11,"ambulance, étourderie, ceinturon, beurré, tournebroche",11,La debacle.
12,"caporal, maréchal, cuisinier, poulet, tonnell",58,La debacle.
13,"rixe, dorloter, turco, sucrier, ambulant",10,La debacle.
14,"artère, infirmier, hémorragie, gangrène, lunette",48,La debacle.
15,"sensitif, bourg, treille, saignante, distant",6,La debacle.
16,"ambulance, silvine, teinturerie, rassurant, commandant",32,La debacle.
17,"uhlan, brouette, vallonnement, interrogeât, roulât",4,La debacle.
18,"bégayée, major, baquet, pansement, charnier",38,La debacle.
19,"tutoiement, silvine, canonnaient, pansa, imbiber",21,La debacle.
20,"agression, fricoteur, avisé, betterave, irrité",2,La debacle.
21,"chassepot, brigade, escouade, bandoulière, major",48,La debacle.
0,"boulon, établi, rivet, maille, octroi",144,L assommoir.
1,"lorgnon, foutrai, monopole, divorce, roussin",3,L assommoir.
2,"chapelier, zingueur, coupeau, blanchisseur, patronne",257,L assommoir.
3,"blanchisseur, forge, raclée, vitriol, taquinerie",16,L assommoir.
4,"atout, interne, principe, zingueur, blanchisseur",27,L assommoir.
5,"anisette, gênai, retape, interne, bobo",15,L assommoir.
6,"cosaque, quille, forgeaient, déménageur, émotionnant",9,L assommoir.
7,"dodo, blanchisseur, bouillonné, zingueur, deux",70,L assommoir.
8,"chapelier, gourgandine, rechute, embêtant, croque",41,L assommoir.
9,"blanchissage, croupion, dentellière, crevaison, blanchisseur",46,L assommoir.
10,"fourbi, gouape, flemme, engourdie, chalet",3,L assommoir.
11,"blanchisseur, coupeau, blanquette, patronne, zingueur",184,L assommoir.
12,"zingueur, chapelier, alambic, chahut, blanchisseur",73,L assommoir.
13,"louchon, fleuriste, lardon, lascar, restrictif",22,L assommoir.
14,"interne, chatouille, mufe, battoir, pan",58,L assommoir.
15,"nichon, morveux, gourmand, chanson, plâtreux",14,L assommoir.
16,"maquereau, zingueur, louchon, lavoir, blanchisseur",49,L assommoir.
17,"chouette, collection, tape, paraphe, version",1,L assommoir.
18,"battoir, piétina, biche, amidon, forgeron",46,L assommoir.
19,"irion, invalide, martèlement, trogne, crotté",14,L assommoir.
20,"aristo, extérieur, traqueur, avenant, balayure",14,L assommoir.
21,"gibelotte, zingueur, trogne, saillant, derrière",26,L assommoir.
0,"impérial, moirée, tribune, monumental, vive",77,Son Excellence Eugene Rougon.
1,"rapporteur, parlement, répression, opposant, orateur",41,Son Excellence Eugene Rougon.
2,"amendement, démocratique, bock, médaille, chevalier",47,Son Excellence Eugene Rougon.
3,"respectât, flatta, servage, lutteur, diminué",21,Son Excellence Eugene Rougon.
4,"excellence, chevalier, concession, démission, moniteur",201,Son Excellence Eugene Rougon.
5,"pourboire, clique, sifflant, cancan, terreux",2,Son Excellence Eugene Rougon.
6,"bonapartiste, cerf, brigadier, piqueur, meute",16,Son Excellence Eugene Rougon.
7,"boudoir, cartonnier, paravent, clorinde, dévernie",36,Son Excellence Eugene Rougon.
8,"méfier, parrain, intrigue, vieillesse, bavolet",38,Son Excellence Eugene Rougon.
9,"cravache, présentation, portefeuille, deum, tourniquet",40,Son Excellence Eugene Rougon.
10,"prérogative, sénat, démagogie, anarchique, sir",2,Son Excellence Eugene Rougon.
11,"tourniquet, kiosque, domiciliaire, excentricité, portefeuille",34,Son Excellence Eugene Rougon.
12,"proviseur, tribune, discours, orateur, chevalier",150,Son Excellence Eugene Rougon.
13,"brigadier, sénateur, cristallerie, clorind, louage",44,Son Excellence Eugene Rougon.
14,"cravache, orateur, taureau, carillon, cinglement",17,Son Excellence Eugene Rougon.
15,"chasseresse, guindé, valaque, onguent, légation",11,Son Excellence Eugene Rougon.
16,"italien, chevalier, pari, américain, amazone",41,Son Excellence Eugene Rougon.
17,"aubergiste, feindre, sanction, appréciable, gourmé",11,Son Excellence Eugene Rougon.
18,"guitare, cravache, réfugié, rondelle, méprisante",24,Son Excellence Eugene Rougon.
19,"rancunier, riposte, fatiguait, excellence, bredouillement",19,Son Excellence Eugene Rougon.
20,"conserve, cerise, modelé, hanneton, tarlatane",10,Son Excellence Eugene Rougon.
21,"paragraphe, collet, orateur, tablette, phraséologie",28,Son Excellence Eugene Rougon.
0,"parterre, œillet, buisson, rosier, futaie",217,La faute de l abbe Mouret.
1,"théologique, imposition, cousinage, croûton, cassette",17,La faute de l abbe Mouret.
2,"falbala, purificatoire, ennuyant, calice, chasuble",16,La faute de l abbe Mouret.
3,"tonsure, virilité, calice, poussin, hostie",102,La faute de l abbe Mouret.
4,"calotin, païen, chardon, vigne, sacristie",48,La faute de l abbe Mouret.
5,"cerise, cerisier, mangeron, aimai, désire",84,La faute de l abbe Mouret.
6,"lézard, sauterelle, dirigeant, convulsion, cercueil",1,La faute de l abbe Mouret.
7,"ronce, fenouil, baume, fauvette, sacristie",42,La faute de l abbe Mouret.
8,"joug, desservant, décourager, diaconat, ingénié",10,La faute de l abbe Mouret.
9,"prédécesseur, gueux, aubergine, bêlement, il",26,La faute de l abbe Mouret.
10,"sceau, impureté, empreinte, eunuque, venin",28,La faute de l abbe Mouret.
11,"coutume, allumette, prunier, chandelier, tripoli",14,La faute de l abbe Mouret.
12,"burette, index, vendange, appelât, ego",12,La faute de l abbe Mouret.
13,"racontât, pêcher, chasuble, airain, noire",7,La faute de l abbe Mouret.
14,"patène, larron, silex, cache, spiritu",43,La faute de l abbe Mouret.
15,"coq, quenouille, châtain, lis, courbe",47,La faute de l abbe Mouret.
16,"coquelicot, inconnue, taureau, fatiguât, papillote",24,La faute de l abbe Mouret.
17,"antéchrist, catéchisme, accouche, calotin, accouplement",1,La faute de l abbe Mouret.
18,"succomb, manuterge, burette, gosier, ver",42,La faute de l abbe Mouret.
19,"mésange, albine, miséricorde, écout, étranglerai",16,La faute de l abbe Mouret.
20,"chapon, puce, repeignit, pinceau, claire",2,La faute de l abbe Mouret.
21,"prune, séminaire, déshabill, terram, rebuta",22,La faute de l abbe Mouret.
0,"creuset, halle, laminoir, rail, fusion",136,Travail.
1,"association, salariat, évolution, harmonie, électricité",447,Travail.
2,"minerai, outillage, coopératif, salariat, fabrication",116,Travail.
3,"indissoluble, brûlure, renoncement, harmonie, pervers",115,Travail.
4,"puddleur, besace, fermage, bail, câble",58,Travail.
5,"résignera, clé, josine, nanet, bonjour",55,Travail.
6,"empoisonneur, associer, coopératif, détaillant, ruée",19,Travail.
7,"suppléant, laboratoire, veillant, ranima, dégrafa",34,Travail.
8,"cordonnerie, coté, combette, fille, ascendant",58,Travail.
9,"tranchet, aciérie, automobile, coulage, exploiteur",53,Travail.
10,"électricité, sœurette, atome, reprend, primordial",25,Travail.
11,"boulangerie, pétrin, équipe, épicerie, crèche",25,Travail.
12,"argileux, orgeat, socialisation, donne, busqué",39,Travail.
13,"courre, exagèr, fille, accueillant, prévoyant",16,Travail.
14,"harde, garce, empoisonneur, paume, bouledogue",19,Travail.
15,"sœurette, insignifiance, gazouillis, escarpé, frisé",53,Travail.
16,"reparut, écharde, radoucir, inapaisé, protesta",17,Travail.
17,"dommage, similaire, bestialité, restitution, audience",15,Travail.
18,"clé, pansement, décourager, héroïquement, traîna",20,Travail.
19,"mental, rendrai, affaiblissement, garce, faculté",17,Travail.
20,"forge, sulfuré, phosphaté, laminoir, répétât",14,Travail.
21,"salarié, puddleur, cotte, ringard, coloration",26,Travail.
0,"bosquet, âcre, fortification, senteur, talus",36,1865 La confession de Claude.
1,"amphithéâtre, éreintée, brut, égout, âpreté",2,1865 La confession de Claude.
2,"endolori, déménagement, habileté, salaire, broderie",2,1865 La confession de Claude.
3,"grabat, empreindre, souillure, avilie, languissamment",14,1865 La confession de Claude.
4,"langage, volubilité, inventeur, échelon, lucidité",2,1865 La confession de Claude.
5,"outrageant, soi, fâche, épargner, loyal",29,1865 La confession de Claude.
6,"carnier, partion, cornue, maturité, viril",1,1865 La confession de Claude.
7,"indécis, lavandière, étoilé, tremblai, agrandi",10,1865 La confession de Claude.
8,"inconséquence, acquisition, affaibli, prévoyance, impur",3,1865 La confession de Claude.
9,"parfumerie, aromatique, faune, mendier, fard",7,1865 La confession de Claude.
10,"songe, mansarde, rédemption, virginité, embrassement",166,1865 La confession de Claude.
11,"déchirée, serge, chenil, harde, contrainte",5,1865 La confession de Claude.
12,"renversée, vicier, évanoui, ennuyé, champagne",1,1865 La confession de Claude.
13,"papillote, flétrie, déplair, voûter, fard",2,1865 La confession de Claude.
14,"insensibilité, ridée, foudroyée, pantelant, sabbat",6,1865 La confession de Claude.
15,"échevelé, mat, flétri, mansarde, languissant",31,1865 La confession de Claude.
16,"pâquerette, prêtresse, effrayé, croquant, roidie",5,1865 La confession de Claude.
18,"pâquerette, touss, toux, quiétude, cynique",6,1865 La confession de Claude.
19,"pâquerette, échevelée, fascinant, gradation, raillant",5,1865 La confession de Claude.
21,"épanchement, raisonneur, acuité, regardai, sensé",2,1865 La confession de Claude.
0,"tombeau, dôme, temple, villa, basilique",277,Rome.
1,"catholicisme, papauté, christianisme, nation, romain",415,Rome.
2,"patrimoine, villa, financier, caudataire, nonce",35,Rome.
3,"boccanera, virginité, sarcophage, indolent, union",84,Rome.
4,"eminence, audience, congrégation, jésuite, figue",220,Rome.
5,"eussion, scrupul, han, ultramontain, dario",13,Rome.
6,"béatification, détachement, suisse, accessible, canonique",7,Rome.
7,"sieste, clé, encyclique, ensommeillé, figue",55,Rome.
8,"perlier, annulation, vicomte, villa, madone",65,Rome.
9,"contessina, jubilé, offrande, figue, anévrisme",19,Rome.
10,"eminence, fiançaille, superstitieux, souille, impératif",37,Rome.
11,"figue, valise, noircie, transtévère, sobriété",10,Rome.
12,"figue, ambassade, officiant, perruche, catacombe",42,Rome.
13,"compatriote, napolitain, retroussait, épouserai, excellente",16,Rome.
14,"figue, aimez, inaliénable, bronze, annulaire",25,Rome.
15,"candide, symbole, déesse, insondable, jolie",76,Rome.
16,"distraira, brisée, tâta, indisposé, entrant",19,Rome.
17,"annulation, demanderesse, figue, congrégation, virginité",41,Rome.
18,"figue, sût, psalmodie, magnésie, pourrissant",17,Rome.
19,"antéchrist, eminence, condamnable, jésuite, pourrai",29,Rome.
20,"oranger, ingénuité, bossué, villa, décoration",23,Rome.
21,"figuier, romain, ecclésiastique, caudataire, pontifical",64,Rome.
0,"chou, carotte, volaille, tombereau, navet",163,Le ventre de Paris.
1,"pleurnicherie, humanitaire, exil, justicier, casemate",13,Le ventre de Paris.
2,"quenu, charcuterie, charcutier, lard, boudin",85,Le ventre de Paris.
3,"querella, revoyiez, chatouillante, sceptre, couenn",16,Le ventre de Paris.
4,"quenu, gavard, pistolet, croquis, poissonnière",32,Le ventre de Paris.
5,"orge, charcutier, joliment, dindon, hachoir",9,Le ventre de Paris.
6,"forçat, écueil, guidon, barque, falot",11,Le ventre de Paris.
7,"resserre, quenu, volaille, cahier, affilié",40,Le ventre de Paris.
8,"quenu, charcuterie, poissonnière, éventaire, camélia",42,Le ventre de Paris.
9,"raucourt, maniotte, pigeon, charcutier, teinture",41,Le ventre de Paris.
10,"mourrai, feuillet, souris, poissonnière, principe",1,Le ventre de Paris.
11,"poissonnière, mirabelle, charcutier, étuve, charcuterie",72,Le ventre de Paris.
12,"punch, mazagran, rouleau, boudin, charcuterie",50,Le ventre de Paris.
13,"charcutier, barbue, volaille, mollet, faisan",28,Le ventre de Paris.
14,"tranche, piquer, hutte, turbot, guimpe",20,Le ventre de Paris.
15,"alphabet, guigne, débraillé, groseille, effronté",27,Le ventre de Paris.
16,"saucisson, carotte, écrevisse, charcuterie, maraîcher",32,Le ventre de Paris.
17,"déportation, facteur, format, pirate, écourter",9,Le ventre de Paris.
18,"pigeon, anguille, dépassât, recule, incommodé",18,Le ventre de Paris.
19,"sole, battrai, dénonciation, poissonnière, suffoquer",7,Le ventre de Paris.
20,"liquoreux, grenadier, andouille, carpe, charcuterie",29,Le ventre de Paris.
21,"poissonnerie, dictature, clignement, boutiquier, charcuterie",30,Le ventre de Paris.
0,"aire, poutre, pelisse, bohémien, vallée",110,La fortune des Rougon.
1,"clergé, librairie, républicain, réaction, royaliste",30,La fortune des Rougon.
2,"enclos, rentier, châtaigne, contrebandier, commandant",124,La fortune des Rougon.
3,"tombal, borgne, ineffable, mante, pistolet",56,La fortune des Rougon.
4,"bonnetier, mairie, mouchard, véhément, amande",51,La fortune des Rougon.
5,"réchaufferai, philanthropie, terrifier, couron, batte",26,La fortune des Rougon.
6,"contingent, national, commandant, bataillon, mairie",103,La fortune des Rougon.
7,"chaperon, fripier, mûrier, margelle, tombal",34,La fortune des Rougon.
8,"inconduite, supériorité, louveteau, commère, chenapan",56,La fortune des Rougon.
9,"mairie, gueux, réunir, recule, saignerait",34,La fortune des Rougon.
10,"comploter, obéir, probabilité, supplie, panique",2,La fortune des Rougon.
11,"monomanie, ponctualité, phrygien, île, doublure",7,La fortune des Rougon.
12,"amande, receveur, pelisse, commandant, braconnier",33,La fortune des Rougon.
13,"cachottier, diantre, intriguer, moyeu, mangeus",4,La fortune des Rougon.
14,"patois, borgne, orbite, esplanade, délicatess",22,La fortune des Rougon.
15,"fouine, braconnier, physionomie, pelisse, cigale",36,La fortune des Rougon.
16,"apportât, cellier, élu, suscription, portée",14,La fortune des Rougon.
17,"digression, panégyrique, couvrit, mémorable, dérobée",7,La fortune des Rougon.
18,"chaperon, carabine, catalepsie, galvanisaient, fluidité",24,La fortune des Rougon.
19,"commandant, terrassier, façon, gueux, faite",3,La fortune des Rougon.
20,"châtaigne, gueux, crain, géologue, malfamé",18,La fortune des Rougon.
21,"invective, caractéristique, sournoiserie, épisode, exploit",35,La fortune des Rougon.
0,"teinte, ronce, bleuâtre, peuplier, senteur",43,1868 Madeleine Ferat.
1,"laboratoire, toxicologie, traitât, chimiste, manuscrit",6,1868 Madeleine Ferat.
2,"pensionnat, paria, giflerai, limant, cosmétique",17,1868 Madeleine Ferat.
3,"insu, fanatique, cuisant, union, fatalité",218,1868 Madeleine Ferat.
4,"caillot, laboratoire, toxique, altération, terre",10,1868 Madeleine Ferat.
5,"suicide, sai, chirurgien, impur, rêv",84,1868 Madeleine Ferat.
6,"détremper, matelot, galet, ondée, évanoui",2,1868 Madeleine Ferat.
7,"laboratoire, vérole, poussin, veilleuse, pigeonnier",51,1868 Madeleine Ferat.
8,"bible, protestant, fanatique, tuteur, adultère",62,1868 Madeleine Ferat.
